,flagged_days,trading_days,mean_spytlt_corr,mean_div_ratio,hmm_elevated_share
2007,10,152,-0.254,1.919,0.467
2008,0,253,-0.531,2.203,0.0
2009,0,252,-0.353,2.111,0.226
2010,0,252,-0.543,2.169,0.095
2011,0,252,-0.568,2.35,0.071
2012,0,250,-0.66,2.331,0.0
2013,0,252,-0.305,1.992,0.536
2014,0,252,-0.401,2.201,0.083
2015,0,252,-0.393,2.274,0.23
2016,9,252,-0.348,2.253,0.306
2017,0,251,-0.325,2.253,0.39
2018,0,251,-0.229,2.06,0.697
2019,0,252,-0.479,2.245,0.0
2020,0,253,-0.415,1.984,0.289
2021,20,252,-0.103,2.044,0.77
2022,62,251,-0.015,1.948,0.857
2023,131,250,0.137,2.0,0.94
2024,118,252,0.093,1.987,1.0
2025,25,250,0.062,2.034,1.0
2026,127,164,0.315,1.821,1.0
